"","x"
"19","Love the robin it’s my sons favourite bird too, though “Dachshund through the snow...” is quite fun! <ed><U+00A0><U+00BE><ed><U+00B4><U+00A3><ed><U+00A0><U+00BD><ed><U+00B8><U+0085><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
Thanks so much for the chance fantastic giveaway <ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B8><U+0080><ed><U+00A0><U+00BC><ed><U+00BE><U+0081><U+2764><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B1><U+00AA><ed><U+00A0><U+00BC><ed><U+00BD><U+0080><ed><U+00A0><U+00BC><ed><U+00BE><U+0085><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><ed><U+00A0><U+00BC><ed><U+00BE><U+0084><ed><U+00A0><U+00BC><ed><U+00BC><U+009F>"
"20","Got to be THAT I adore the Dachshund jumper it is so adorable. Thanks amazing chance. I would love to be your lucky winner. Fingers crossed I may be lucky."
"21","The Dachshund please, I am a vet nurse working xmas day saving the animals <ed><U+00A0><U+00BD><ed><U+00B8><U+009C> so would love this to wear over my tunic to feel a bit more festive <ed><U+00A0><U+00BD><ed><U+00B8><U+008A> x"
"22","THIS robin knit - I have everything Robin (but no knit!) and they are one of my favourite animals; I love seeing them in my garden and this one is so cute! <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><U+2744><U+FE0F><ed><U+00A0><U+00BC><ed><U+00BE><U+0085><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><ed><U+00A0><U+00BE><ed><U+00B4><U+00B6><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><U+2764><U+FE0F>"
"23","THAT Dachshund Jumper !! What a cutie, and a great fun addition for wrapping up in winter! I've had my eye on this for about a week now :D"
"24","THAT Dachshund Jumper .... I can hum/sing/whistle Daching through the snow ... and remember Milo a  much loved and beautiful Dachshund I knew a few years back."
"25","The Robin jumper is the one for me it is the perfect Xmas jumper so festive and not too thick for Xmas day when cooking dinner!!"
"26","I NEED a new Xmas jumper. I’ve just made THAT decision. You can’t get cuter than a dachshund in a Santa hat. Unless it’s my Welsh Terrier in his...."
"27","THAT!!! The daschund in the Christmas hat is very cute!! I can't seem to make out the robin in the other one. Is my eye sight going?!?"
"28","That dachshund! Love it. I've never had a Christmas jumper... Every year I think about it, but can never find one I like.... But I love dogs! I would wear that most of December I reckon!"
"29","This!! I tell my children daily that Santa’s robin is watching them! This jumper could come
In very handy when there are no robin’s around!!! <ed><U+00A0><U+00BD><ed><U+00B8><U+0089><ed><U+00A0><U+00BD><ed><U+00B8><U+0089>"
"30","Definitely THAT Daschund jumper. Lost my 5 year old Daschund last year. Still miss him. The jumper would be the perfect keep
sake <ed><U+00A0><U+00BD><ed><U+00B0><U+00B6><U+2764><U+FE0F>"
"31","Love the robin design . Always makes me think of loved ones who are no longer with us , I'm silly superstitious lol liked and shared x"
"32","Oh definitely that dachshund....everyone always laughs that I get my dogs a Christmas present but it's Christmas for them too!! So cute x"
"33","Wow! What a difficult choice! It has to be 'That"" though because I am a new puppy mummy. <ed><U+00A0><U+00BD><ed><U+00B0><U+0095> Also have a skirt in the same colour so double bonus!<ed><U+00A0><U+00BD><ed><U+00B8><U+0083>"
"34","This! I would love this jumper as Robins remind me of my grandparents who always used to talk about the robins in their garden!"
"35","Omg these are beautiful!! Please say they have some cotton in them, hard choice but I’ll go for the dachshund <ed><U+00A0><U+00BE><ed><U+00B4><U+0097> yes please ‘that’ for me x x"
"36","It's got to be THIS Robin Knit for me, I would rock it around the Christmas tree with skinny jeans and leopard print pumps."
"37","This Robin Knit is definitely my favourite. We always think of my amazing grandad who has sadly passed away when see see a robin <U+2764> xx"
"38","Definitely This please. I always associate Robins with Christmas I tell my kids they are Santa's little helpers so b good! <ed><U+00A0><U+00BD><ed><U+00B8><U+0089>"
"39","That Daschund jumper is just gorgeous! Perfect for wrapping up stylishly when walking my mutt <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> both are gorgeous though"
"40","They're both so cute but THIS robin is probably my favourite, though THAT dachshund would be a fave of the work dog Frank"
"41","Tough choice, I love dachshunds but the Robin jumper feels more Christmasy to me. Do the Robin jumper would be my choice x"
"42","Definately the robin for me as they remind me of my late dad. Having this jumper will mean he be with me for Christmas <ed><U+00A0><U+00BE><ed><U+00B4><U+0097>"
"43","We are dog mad in our house so I have to say THAT Dachshund Jumper! 
Fabulous prize! Liked & shared! Fingers crossed! xxxxx"
"44","THIS a robin is a perfect sign of Christmas so lovely and I haven’t got a Crimbo jumper, I can look stylish and festive x"
"45","I would love the Robin jumper because I love watching birds and always have food & water for our feathered friends xxx"
"46","That Dachshund jumper, my sister has two saussage dogs so she will love this will be fun to wear on christmas <ed><U+00A0><U+00BD><ed><U+00B0><U+00B6><ed><U+00A0><U+00BE><ed><U+00B4><U+009E>"
"47","That I love a Christmas sausage dog xxx he looks like our alfie xxx paws crossed good luck everyone xxx <ed><U+00A0><U+00BD><ed><U+00B0><U+0095><ed><U+00A0><U+00BD><ed><U+00B0><U+0095><ed><U+00A0><U+00BD><ed><U+00B0><U+00B6><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"48","THIS robin Knit is my favourite. I love watching robins come to feed in my garden and hope this one comes my way too!"
"49","I know it's a Robin but what's happened with the head? I can't decipher that. Although I know where the eyes must be, I can't see them."
"50","This robin  knit jumper is my favourite <ed><U+00A0><U+00BD><ed><U+00B2><U+0096> lovely for Christmas <ed><U+00A0><U+00BD><ed><U+00B2><U+0095>thank you for the chance...liked and shared x"
"51","THAT Robin knit I absolutely love robin's.. ..always a sign of a loved one no longer with us coming to say hello"
"52","Dachshund jumper please if I’m lucky enough! It’s lovely would really like a nice Christmas jumper <ed><U+00A0><U+00BD><ed><U+00B8><U+0084><U+2603><U+FE0F><ed><U+00A0><U+00BC><ed><U+00BE><U+0084><U+2744><U+FE0F><ed><U+00A0><U+00BC><ed><U+00BE><U+0085> x"
"53","THAT dachshund jumper is adorable <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D> I am a crazy dachshund owner and would love this for the festive season <ed><U+00A0><U+00BC><ed><U+00BC><U+00AD><ed><U+00A0><U+00BC><ed><U+00BE><U+0084><ed><U+00A0><U+00BE><ed><U+00B4><U+009E><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB>"
"54","THAT....because I really want a doggy of my own but I can't.  It wouldn't be fair on the doggy :-( Damn you work!!"
"55","THAT dachshund jumper please! I love doggies, especially dachshunds, so this would suit me down to the ground! <U+263A><U+FE0F>"
"56","THAT Dachshund jumper for my gorgeous daughter Becky  who's  mummy to the adorable Winston <ed><U+00A0><U+00BD><ed><U+00B0><U+00B6><ed><U+00A0><U+00BD><ed><U+00B2><U+0099>"
"57","The robin knit is absolutely gorgeous. I never had a Christmas jumper and would absolutely love wearing it!"
"58","This. The robin is iconic and just simple enough to sparkle in the right way. Brilliant for day and night <ed><U+00A0><U+00BD><ed><U+00B8><U+0080>"
"59","Dachshund!!!! Would so love this ! My favourite dog ever , we have a soon to be 9 year old dachshund called lucy"
"60","This Robin knit please if I'm lucky so beautiful <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> beautiful giveaway finger's tightly crossed X <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BC><ed><U+00BD><U+0080><ed><U+00A0><U+00BD><ed><U+00B2><U+0097><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BC><ed><U+00BD><U+0080><ed><U+00A0><U+00BD><ed><U+00B2><U+0097>"
"61","I really need the dachshund jumper to wear on Christmas day while I'm holding my new dachshund puppy Winnie!!"
"62","What a fab prize. Definitely the Robin design. Love to add this to my winter collection. Liked and Shared."
"63","The dachshund is the one Would love a real one but are so expensive so a jumper with one would be a lovely Christmas pressi"
"64","Deffo that dachshund im obsessed with them just seen one this morning with a wolley  hat on soo cute"
"65","they are both lovely but I think the Robin just about get my vote although it is really ifficult to decide xt"
"66","Has to be THIS.  I love Christmas and this would be perfect to wear on Christmas jumper day at work and on Christmas Day! X x x x"
"67","A robin all the way please, they rock around the Christmas tree and are such friendly little birds, just like me <ed><U+00A0><U+00BE><ed><U+00B4><U+00A3>"
"68","Ohhh, THAT Dachshund Jumper please! I'd finally have a Christmas jumper to wear to work on Christmas jumper day! <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BE><ed><U+00B4><U+00B6><ed><U+00A0><U+00BC><ed><U+00BE><U+0084>"
"69","THIS jumper, When a robin appears it is a sign of a lost loved one, it would be a lovely reminder that they are there x"
"70","Love the robin one reminds me of loved ones that have passed Dachshund is lovely to my favourite This Robin Knit"
"71","THAT dashund is amazing! ! Always wants a dashund but I can't have a dog at the moment.  Fingers crossed!!"
"72","Can only be THAT... it’s got my Sid the Silly Sausage on it <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B0><U+00BE>
Good luck all <ed><U+00A0><U+00BC><ed><U+00BD><U+0080>"
"73","Def the Daschund jumper so I can wear it walking my little daschund Henry <ed><U+00A0><U+00BD><ed><U+00B0><U+00B6><ed><U+00A0><U+00BD><ed><U+00B2><U+0095><ed><U+00A0><U+00BC><ed><U+00BE><U+0084> x"
"74","That for my daughter in law Ruth Mortimer, Dora and Sidney Dachshund’s Mummy"
"75","That! I can wear it and match my sausage dogs <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>"
"76","The robin is adorable!!! <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> This for sure"
"77","THIS Robin knit is so sweet!
Katherine might prefer the other ;)"
"78","That for me today. What do you think Jo West?"
"79","Adam Bell I have found my new Xmas jumper!!! Xxx"
"80","I need THAT please as I’ve just got a lil sausage of my own <ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><U+2764><U+FE0F>"
"81","Dachshund jumper! To walk my gorgeous boy in"
"82","That dachshund jumper! Stephen Ruddock this has got to be my xmas jumper this year"
"83","This please <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> Robins are definitely the animals of Christmas <ed><U+00A0><U+00BD><ed><U+00B0><U+00A6>"
"84","THAT! Who wouldn't want a gorgeous Christmas sausage doggie!!  <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"85","Defiantly that, because it looks like my little Bramley <ed><U+00A0><U+00BD><ed><U+00B0><U+00B6>"
"86","Definitely THAT! Perfect for a crazy dog lady like myself <ed><U+00A0><U+00BD><ed><U+00B0><U+00BE><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"87","Vicki, saw this and thought of you! <ed><U+00A0><U+00BD><ed><U+00B8><U+0081>"
"88","THIS Robin knit looks so cozy and cute!! :)"
"89","THIS Robin is my favourite. I would love to WIN IT."
"90","You'd pick the doggie Vivian de courcy"
"91","Definitely THAT Dachshund jumper <U+2764><U+FE0F><U+2764><U+FE0F><U+2764><U+FE0F>"
"92","Ágnes the perfect Christmas jumper for you"
"93","Dachshund because I love sausage dogs! <ed><U+00A0><U+00BD><ed><U+00B0><U+00B6>"
"94","I bet Leonie would love to win that Daschund jumper for some festive fun <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> #WINIT"
"95","THIS robin knit is lovely and would make a fab addition to my Christmas wardrobe!"
"96","THIS jumper x is lovely xx thanks for the chance x"
"97","I would love to WIN the Robin knit  jumper please xxxx Emma Jane Jones"
"98","THIS.......please <ed><U+00A0><U+00BC><ed><U+00BE><U+0084><ed><U+00A0><U+00BC><ed><U+00BE><U+0084><ed><U+00A0><U+00BC><ed><U+00BE><U+0084>

Thanks for the chance xxx"
"99","I love THAT gorgeous dachshund jumper <ed><U+00A0><U+00BD><ed><U+00B1><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC>"
"100","Love THIS Robin <U+2764><U+FE0F>"
"101","That please with the cute christmas dog <ed><U+00A0><U+00BD><ed><U+00B1><U+008C>"
"102","THAT Dachshund Jumper <3 Super cute <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"103","Definitely this love robins <ed><U+00A0><U+00BE><ed><U+00B4><U+0097>"
"104","THAT because I love my dogs and it is SO Cute x"
"105","<ed><U+00A0><U+00BD><ed><U+00B2><U+0096> Love THAT Dachshund Jumper..<ed><U+00A0><U+00BD><ed><U+00B2><U+0096>
Liked and shared Sarah Goodwin. X"
"106","That Dachshund jumper 
Liked & shared"
"107","That....so cute <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>

Great giveaway <ed><U+00A0><U+00BD><ed><U+00B8><U+0083> Liked & shared. Fingers crossed <ed><U+00A0><U+00BE><ed><U+00B4><U+009E>"
"108","Definitely That. Gorgeous prize 
FINGERS CROSSED xx"
"109","I love THAT Dachshund one"
"110","This Robin knit is my favourite <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D> xxxx"
"111","That! Can't say no to that cute Dachshund"
"112","I love the daschund THAT"
"113","THAT Dachshund jumper!"
"114","THAT dachshund jumper,be lovely for the festive season! <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"115","That because my son love dogs <ed><U+00A0><U+00BD><ed><U+00B8><U+0081><ed><U+00A0><U+00BD><ed><U+00B8><U+0081><ed><U+00A0><U+00BD><ed><U+00B8><U+0081>"
"116","My daughter would absolutely love the daschund jumper :-)"
"117","Robin please 
Liked shared lovely giveaway <ed><U+00A0><U+00BC><ed><U+00BE><U+0084><ed><U+00A0><U+00BC><ed><U+00BE><U+0084><ed><U+00A0><U+00BC><ed><U+00BE><U+0084><ed><U+00A0><U+00BC><ed><U+00BE><U+0084><ed><U+00A0><U+00BC><ed><U+00BE><U+0084><ed><U+00A0><U+00BC><ed><U+00BE><U+0084>"
"118","THAT Dachshund Jumper is FABULOUS!!"
"119","That!!!!!!! woooof! i am a big DOG Lovely Especially toy dogs  x"
"120","THAT Dachshund Jumper please x"
"121","That is just fabulous, fingers crossed and thanks x"
"122","This for sure,it's fab ,puts me in the Christmas spirit <ed><U+00A0><U+00BC><ed><U+00BE><U+0084><ed><U+00A0><U+00BC><ed><U+00BE><U+0084><ed><U+00A0><U+00BC><ed><U+00BE><U+0081><ed><U+00A0><U+00BC><ed><U+00BE><U+0089>"
"123","The robin my mum loves robins but she is in hospital at the moment lovely <ed><U+00A0><U+00BD><ed><U+00B8><U+008A> prize liked and shared"
"124","THAT dachsund jumper, we grew up with a sausage dog, love them <3 fingers crossed!"
"125","this robin - wow awesome prize would be truly amazing to win xxx"
"126","THIS cannot beat a Robin at Christmas <ed><U+00A0><U+00BD><ed><U+00B2><U+0096>"
"127","Swooning over that  Daschund <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"128","Definitely THAT Dachshund Jumper love it"
"129","THAT dachshund <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> please Oasis!!"
"130","THAT, fabulous and different :-)"
"131","The Robin  it's a hard choice as like them both"
"132","I'm going to have to say this Robin knit because it's navy and I love navy"
"133","THAT Dachshund is my favourite x"
"134","THAT dachshund Jumper <ed><U+00A0><U+00BD><ed><U+00B8><U+0081>"
"135","The robin please! Liked and shared xx great giveaway"
"136","Love robins - so it would have to be THIS robin knit!"
"137","That Dachshund jumper is gorgeous x"
"138","THAT dachshund jumper please - love it <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>. Awesome giveaway. Have liked and shared. Good luck everyone <ed><U+00A0><U+00BC><ed><U+00BD><U+0080><ed><U+00A0><U+00BD><ed><U+00B2><U+0096><U+263A><U+FE0F>"
"139","This definitely the robin"
"140","I love that dachshund one <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"141","THAT!! Love dachshunds - have 2 - Mum and daughter"
"142","That Dachshund is so cute"
"143","That! Oh so cute knit would love for Xmas day <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"144","Love that as we love Dashunds x"
"145","This. I am definately a traditionalist."
"146","THAT Dachshund Jumper <3 it"
"147","This Robin jumper. Is absolutely gorgeous.....robins = Christmas for us"
"148","THAT please I love Dachshunds <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B2><U+0095>"
"149","That Dachund please. Absolutely love it"
"150","definetly that :) he is adorable :)"
"151","THAT dachshund jumper, how cute isn't that <ed><U+00A0><U+00BD><ed><U+00B8><U+00BB><ed><U+00A0><U+00BD><ed><U+00B8><U+00BB>"
"152","I'd love THIS jumper it's lovely"
"153","That dachshund jumper."
"154","Definitely That to go along with our Dachshund j"
"155","This would love the robin jumper.  Thanks for the chance to win win this awesome jumper for the festive season. Xx"
"156","Love them both but the dachshund in the hat... How cute! THAT"
"157","THAT - the dachshund is sooo cute!!"
"158","Definitely the daschund my son loves them! I do too they are such characters!"
"159","This love that jumper <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"160","That Dashund jumper for my sister in law as she loves them & has 2"
"161","That! It’s the cutest thing I’ve ever seen <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"162","THIS Robin knit would be perfect to wear at school Christmas fair as it's on Christmas jumper day"
"163","That dachshund jumper is so adorable, but both are gorgeous <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"164","THAT Dachshund jumper <ed><U+00A0><U+00BD><ed><U+00B8><U+0080>"
"165","Dachshund definitely 'Tayla Roberts' have you seen this??"
"166","This please - sooooo cute!"
"167","THAT Dachshund Jumper  #thisorthat #WINIT <ed><U+00A0><U+00BE><ed><U+00B4><U+009E><ed><U+00A0><U+00BE><ed><U+00B4><U+009E>"
"168","THAT Dachshund jumper <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"169","I slightly prefer THIS Robin Knit please. Thank you for the chance"
"170","Robin (although my dog mad son would say Dachshund)"
"171","THIS we have a little robbin that lives in our tree, he is so tame :)"
"172","THAT Dachshund Jumper please"
"173","That....but a very tough choice this time"
"174","That dachshund jumper, very cute<ed><U+00A0><U+00BD><ed><U+00B0><U+00B6><ed><U+00A0><U+00BC><ed><U+00BE><U+0084><U+2744><U+FE0F>"
"175","That...i love the dachshund one x"
"176","THAT Dachshund jumper pls so cute <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"177","THAT is adorable! Love a little dachshund!"
"178","THIS Robin Knit as my sister Emma Anderson keeps stealing all my jumpers! <U+2665><U+FE0F>"
"179","I'd love the Dachshund jumper to go with my beautiful little puppy Ruby<ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"180","Love THIS .. there is always a robin that follows me around and gives you a sense of calm <U+2764><U+FE0F><ed><U+00A0><U+00BC><ed><U+00BE><U+0085><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BC><ed><U+00BE><U+0084>"
"181","I prefer THIS Robin Knit. Great prize. Liked and Shared. Good luck everyone!"
"182","THIS Robin Knit as my favourite bird has always been a robin.  Thank you xxx"
"183","This Robin Knit for me. <ed><U+00A0><U+00BD><ed><U+00B2><U+0097> Seeing the robins that come in to my garden in the winter. #WINIT <ed><U+00A0><U+00BD><ed><U+00B0><U+00A6><ed><U+00A0><U+00BD><ed><U+00B0><U+00A6>"
"184","Maisie James the robin for you and the dachshund for me <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"185","The one with the robin on it."
"186","awww that! little sausage dog is so cute!"
"187","This please! Laura Rees would love THAT though x"
"188","That Dachshund gorgeous liked and shared fantastic prize."
"189","The dachshund absolutely love it"
"190","THAT Dachshund Jumper please  xx"
"191","I love THAT Dachsund Jumper <U+2764><U+FE0F>"
"192","The Dachshund! Warmer with your bestfriend!"
"193","That, just because it makes a nice change x"
"194","Love THAT dachshund jumper,  how cute! <U+2764><U+FE0F>"
"195","That Robin Jumper looks fab !!"
"196","Love love the robin. Reminds me that my angel <ed><U+00A0><U+00BD><ed><U+00B8><U+0087> babies are never far away x"
"197","Love both <U+2764><U+2764><U+2764><ed><U+00A0><U+00BD><ed><U+00B0><U+00B6><ed><U+00A0><U+00BD><ed><U+00B5><U+008A> I'll wear mine  Christmas day @ work"
"198","The robin is my fave. Fingers crossed x"
"199","Omg!! That!! I love dachshunds!! Xmas ones are even cuter!!"
"200","THIS is lovely.Looks more Christmasy."
"201","THIS robin knit is so cute!"
"202","How cute are they both its hard to decide but going to choose Robin as its nearly Christmas <ed><U+00A0><U+00BC><ed><U+00BE><U+0084><U+26C4><U+FE0F><ed><U+00A0><U+00BC><ed><U+00BE><U+0081><ed><U+00A0><U+00BC><ed><U+00BE><U+0085>"
"203","THIS Robin is soooooo cute :)"
"204","That robin knit would be nice to win <ed><U+00A0><U+00BD><ed><U+00B0><U+00A6><ed><U+00A0><U+00BC><ed><U+00BE><U+0085><ed><U+00A0><U+00BD><ed><U+00B0><U+00A7>"
"205","THAT - because my doggies would never forgive me for choosing anything else! ;)"
"206","THIS robin jumper made me flutter <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B0><U+00A4> 
X 
Hahaha thanks for the chance x"
"207","I would like that daschund jumper, because I love dogs."
"208","that! Because It's so similar with my little puppy Ringo <3"
"209","THIS Robin jumper is lovely but a hard choice <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>"
"210","Most definitely THIS Robin jumper <U+2764><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BE><ed><U+00B4><U+009E><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB>

Liked and shared x"
"211","I would love the robin jumper,anything with a Robin on suits me X"
"212","When the red red robin comes bob bob bobbing along for sure <U+2764><U+FE0F> it <ed><U+00A0><U+00BD><ed><U+00B8><U+0081>"
"213","That , love <ed><U+00A0><U+00BD><ed><U+00B2><U+0095> them both though #winit"
"214","THAT Dachshund jumper is just absolutely adorable <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>!!Love love love Christmas jumpers!!!xxx"
"215","Love them both but the robin one is so cute"
"216","THAT. Robbie Hunter shame its for girls.x"
"217","THIS Robin Knit is Great<ed><U+00A0><U+00BD><ed><U+00B8><U+008A> Liked&Shared<ed><U+00A0><U+00BD><ed><U+00B8><U+008A>"
"218","That doggy on the jumper!!"
"219","THIS in time for the festive season pretty please it's lovely.#WINIT <ed><U+00A0><U+00BC><ed><U+00BE><U+0081>"
"220","Either but I'll go with That jumper as I'm a real doggy person"
"221","THIS! My nan passed away last year and loved robins. She would have loved this jumper x"
"222","THIS Robin knit although both are gorgeous!"
"223","As we have a Dachshund it must be that"
"224","They're both fabulous but it has to be That."
"225","THAT Dachshund Jumper, Love it x"
"226","I love THIS Robin Knit it's just lovely and I would be proud to wear it <ed><U+00A0><U+00BD><ed><U+00B8><U+008A><ed><U+00A0><U+00BE><ed><U+00B4><U+009E>"
"227","That!! The daschund junper is lovely!! Fingers crossed!!"
"228","THAT gorgeous little doggy has to be the one!! So cute! #WINIT #PRETTYPLEASE #INEVERWIN x"
"229","Love the robin would love to win"
"230","I love Robins but I think the detail on this is not very good. <ed><U+00A0><U+00BD><ed><U+00B1><U+008E><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD>"
"231","Oh love the daschund jumper!!!"
"232","THAT! Love a dachshund but can’t get one due to work so this would be perfect! <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"233","That dachshund jumper! For my mate. She's obsessed with them! It's the cutest x"
"234","This
Love the red red Robin, thats bob bob Bobbing along <ed><U+00A0><U+00BD><ed><U+00B6><U+0092>"
"235","This please..robin always remind me if my dad..every year one comes rarly and sits on wall x"
